MinimumInstallerVersion;InstallerVersionLessThan;Sequence;WorkbenchVersion;TypeofCheck;FilesChecked;FileCheckDetails;Hash;InstallMedia;ADF_Name;FriendlyName;ADFSource;ADFDescription
1.0;9.9;2;3.1;Hash;;;9A842D2972707C7D95D908E06355E418;Disk;Storage3_1;Storage 3.1;Commodore;Storage 3.1 (Commodore #4)
1.0;9.9;2;3.1;Hash;;;CA72F1FE62CFFBECD849230CB12C89BB;Disk;Storage3_1;Storage 3.1;Commodore;Storage 3.1 (Commodore #5)
1.0;9.9;6;3.1;Hash;;;3CC356AB7EFCEB4176C0D646777677B0;Disk;Storage3_1;Storage 3.1;Escom;Storage 3.1 (Escom #1)
1.0;9.9;5;3.1;Hash;;;A98DC790DC63B92F114512589EF2B983;Disk;Storage3_1;Storage 3.1;Escom;Storage 3.1 (Escom #2)
1.0;9.9;6;3.1;Hash;;;1F13EDB7C85204E687A7C263806AF9FD;Disk;Storage3_1;Storage 3.1;Escom;Storage 3.1 (Escom #3)
1.0;9.9;3;3.1;Hash;;;E7B3A83DF665A85E7EC27306A152B171;Disk;Workbench3_1;Workbench 3.1;Cloanto;Workbench 3.1 (Cloanto)
1.0;9.9;4;3.1;Hash;;;D9F5A43F16BB21C3EFB1CDE85C2DAC39;Disk;Workbench3_1;Workbench 3.1;Cloanto;Workbench 3.1 (Cloanto #2)
1.0;9.9;1;3.1;Hash;;;1FB61921FCAEBE926D78257FF658431B;Disk;Workbench3_1;Workbench 3.1;Commodore;Workbench 3.1 (Commodore #1)
1.0;9.9;2;3.1;Hash;;;5C134BFB89B1022C810486F54DBA9976;Disk;Workbench3_1;Workbench 3.1;Commodore;Workbench 3.1 (Commodore #2)
1.0;9.9;2;3.1;Hash;;;B00F6F4189086943E9C5347A79695BC1;Disk;Workbench3_1;Workbench 3.1;Commodore;Workbench 3.1 (Commodore #3)
1.0;9.9;2;3.1;Hash;;;DF591E3DF2CE8FF1CDDCDF1AAF5D01DD;Disk;Workbench3_1;Workbench 3.1;Commodore;Workbench 3.1 (Commodore #4)
1.0;9.9;2;3.1;Hash;;;D98EC6EA56B669AD64FD2F9A985560BD;Disk;Workbench3_1;Workbench 3.1;Commodore;Workbench 3.1 (Commodore #5)
1.0;9.9;2;3.1;Hash;;;5FE33149F3721926976BF8C165416E57;Disk;Workbench3_1;Workbench 3.1;Commodore;Workbench 3.1 (Commodore #6)
1.0;9.9;6;3.1;Hash;;;DB8F3FCB10B06ED2292DC190454ECC62;Disk;Workbench3_1;Workbench 3.1;Escom;Workbench 3.1 (Escom #1)
1.0;9.9;6;3.1;Hash;;;15DE044E692F69920B4143B832F8D112;Disk;Workbench3_1;Workbench 3.1;Escom;Workbench 3.1 (Escom #2)
1.0;9.9;5;3.1;Hash;;;4A91C7DA8482725D6F8881927D391325;Disk;Workbench3_1;Workbench 3.1;Escom;Workbench 3.1 (Escom #3)
1.0;9.9;1;3.2;Hash;;;2236629E7C316FF907B7E0CB1EE0AD18;Disk;Backdrops3_2;Backdrops 3.2;Hyperion (3.2 base);Backdrops 3.2
1.0;9.9;1;3.2;Hash;;;FD11E54B038D5F236248A941125065DB;Disk;Classes3_2;Classes 3.2;Hyperion (3.2 base);Classes 3.2
1.0;9.9;1;3.2;Hash;;;497D0AA96229A0E7FD2C475163D7462A;Disk;DiskDoctor3_2;DiskDoctor 3.2;Hyperion (3.2 base);DiskDoctor 3.2
1.0;9.9;1;3.2;Hash;;;4F0C3383A10E62FDEA5E5758A9238223;Disk;Extras3_2;Extras 3.2;Hyperion (3.2 base);Extras 3.2
1.0;9.9;1;3.2;Hash;;;E03EB0505FB244AAF1C7486F6FE61EDE;Disk;Fonts3_2;Fonts 3.2;Hyperion (3.2 base);Fonts 3.2
1.0;9.9;1;3.2;Hash;;;26EF4D09CF71B7FDBD9CC68F333B7373;Disk;GlowIcons3_2;GlowIcons 3.2;Hyperion (3.2 base);GlowIcons 3.2
